,lon,lat,BestGW,SF,NumberOfSensors,NumGWs
134,49.801538381173565,9.968264145705787,203,7,1,3
135,49.80130319547696,9.967926547426623,203,7,1,3
136,49.801165790736974,9.969543555833319,787,7,1,4
137,49.801396370046355,9.969903968659978,787,7,1,4
138,49.80170422416325,9.969490140506737,787,7,1,4
139,49.80179679322094,9.968826350677684,787,7,1,4
140,49.80220607134454,9.968750331095473,787,7,1,4
141,49.80212428893087,9.969536455321478,787,7,1,4
142,49.8023929554452,9.969116100897862,787,7,1,4
143,49.802827674087126,9.947578293224936,143,7,1,4
144,49.80977718211495,9.957650568108933,145,7,1,4
145,49.81321105829081,9.960333106952548,145,7,1,5
146,49.80756978270212,9.953163590836127,143,7,1,4
147,49.80465599365108,9.959272195190247,203,7,1,3
148,49.79776569830064,9.944672923559233,5,7,1,5
149,49.798201424248425,9.945311818595924,143,7,1,4
150,49.79818017315734,9.944583562097746,143,7,1,4
151,49.79906886768743,9.944673290718496,143,7,1,4
152,49.7985007458925,9.944214903752846,143,7,1,4
153,49.79808853052605,9.949748109491626,143,7,1,3
154,49.798277267383014,9.950530318591685,143,7,1,3
155,49.79788752720512,9.950835259290127,143,7,1,3
156,49.798644216954976,9.945312698734993,143,7,1,4
157,49.79907392745929,9.943964556334857,143,7,1,4
158,49.81328995687288,9.880083165172813,158,7,1,4
159,49.80677820136076,9.980157483562833,787,7,1,4
160,49.79735014601497,9.97854687573262,787,7,1,4
161,49.76547736496998,9.9447730906261,33,7,1,6
162,49.79683219704123,9.941815463818578,5,7,1,4
163,49.766310239921154,9.93150189708677,406,7,1,5
164,49.82052424808383,9.963829145453348,796,7,1,4
165,49.78719648157936,9.933201680349072,65,7,1,5
166,49.79567760254518,9.937779631279051,709,7,1,3
167,49.79937246220989,9.952090342742588,143,7,1,4
168,49.79861199498062,9.949120514766896,143,7,1,3
169,49.79794730212309,9.949142495993517,143,7,1,3
170,49.745084999292956,9.938372899977175,170,7,1,7
171,49.769773049326396,9.933036599985828,406,7,1,5
172,49.82646577583081,9.921201491041495,172,7,1,7
173,49.82227339868913,9.983514225420864,86,7,1,5
174,49.802557520576435,9.957334745408112,203,7,1,3
175,49.80239091929847,9.957330673438479,203,7,1,3
176,49.80291044946628,9.95831058991053,203,7,1,3
