,lon,lat,BestGW,SF,NumberOfSensors,NumGWs
293,49.82122690364656,9.970087374864478,"[569776.4845348785, 5519129.897274399]",7,1,3
294,49.82094500240381,9.971069159864493,"[569776.4845348785, 5519129.897274399]",7,1,3
295,49.82099354933542,9.969954749984119,"[569776.4845348785, 5519129.897274399]",7,1,3
296,49.82087529936629,9.96942884997051,"[569776.4845348785, 5519129.897274399]",7,1,3
297,49.8206205928249,9.970896021001987,"[569776.4845348785, 5519129.897274399]",7,1,3
298,49.82127713188171,9.9707129129179,"[569776.4845348785, 5519129.897274399]",7,1,3
299,49.79667414332138,9.908170597377541,"[565641.6701410958, 5516256.327498261]",7,1,3
300,49.79517144388474,9.938892628394592,"[567012.915055662, 5515537.688090251]",7,1,2
301,49.79392760368739,9.938297225089409,"[567012.915055662, 5515537.688090251]",7,1,2
302,49.7938047975197,9.938963205658471,"[567012.915055662, 5515537.688090251]",7,1,2
303,49.79846590589538,9.932020264160247,"[567012.915055662, 5515537.688090251]",8,1,2
304,49.798958993240106,9.929763629431667,"[567012.915055662, 5515537.688090251]",8,1,2
305,49.79926212056678,9.932139590187724,"[567012.915055662, 5515537.688090251]",9,1,2
306,49.80334998662986,9.938007049682554,"[568412.6134108064, 5517145.479930685]",7,1,1
307,49.80295749947852,9.939157241879878,"[568412.6134108064, 5517145.479930685]",7,1,1
308,49.8027331809544,9.938449135337123,"[568412.6134108064, 5517145.479930685]",7,1,1
309,49.802715702483205,9.938963378381622,"[568412.6134108064, 5517145.479930685]",7,1,1
310,49.80213857035215,9.940075837780478,"[568412.6134108064, 5517145.479930685]",7,1,1
311,49.80362573083422,9.939036180927301,"[568412.6134108064, 5517145.479930685]",7,1,1
312,49.80347707176239,9.935532608471137,"[568412.6134108064, 5517145.479930685]",8,1,1
313,49.80155686121714,9.935786475405367,"[568412.6134108064, 5517145.479930685]",8,1,1
314,49.801666089183904,9.933732218823808,"[568412.6134108064, 5517145.479930685]",9,1,1
315,49.8019552535974,9.93164167585649,"[568412.6134108064, 5517145.479930685]",9,1,1
316,49.80276334731953,9.9251035250911,"[565641.6701410958, 5516256.327498261]",9,1,3
317,49.79205132803957,9.946849810184831,"[568998.5945552777, 5515495.672918347]",7,1,2
318,49.78002253740533,9.965264865491717,"[568998.5945552777, 5515495.672918347]",8,1,2
319,49.79296225841406,9.92979466886535,"[567012.915055662, 5515537.688090251]",7,1,2
320,49.76858056127387,9.943435756718829,"[567266.2329896999, 5512940.323153469]",7,1,5
321,49.766795765248155,9.944270067830805,"[567266.2329896999, 5512940.323153469]",7,1,4
322,49.80357950208173,9.893167407131074,"[563939.2701420422, 5516583.400472528]",7,1,4
323,49.776206082839394,9.941682117724493,"[568651.7071032528, 5513744.340525249]",7,1,5
324,49.785915238940646,9.95210713635051,"[568998.5945552777, 5515495.672918347]",7,1,2
325,49.79589323312463,9.980467971080115,"[570324.2424829092, 5516978.269441352]",7,1,3
326,49.80076037917184,9.997377187696719,"[571973.952373632, 5516389.788633351]",7,1,4
327,49.79756048986771,9.995480372967952,"[571973.952373632, 5516389.788633351]",7,1,4
328,49.798558951274785,9.950243817334043,"[568412.6134108064, 5517145.479930685]",7,1,1
329,49.80255623703222,9.947852681231325,"[568412.6134108064, 5517145.479930685]",7,1,1
330,49.73001171197185,9.959873530201008,"[569580.676512302, 5509120.651558249]",7,1,4
331,49.79985909940999,9.952923450229369,"[568412.6134108064, 5517145.479930685]",7,1,1
332,49.799236164256726,9.933078334406396,"[567012.915055662, 5515537.688090251]",9,1,2
333,49.79767369297374,9.927739930721629,"[567012.915055662, 5515537.688090251]",8,1,2
334,49.79848122521581,9.92751767807072,"[567012.915055662, 5515537.688090251]",8,1,2
335,49.799386526669785,9.926998774886124,"[565641.6701410958, 5516256.327498261]",9,1,3
336,49.79898686619667,9.927053532054682,"[565641.6701410958, 5516256.327498261]",8,1,3
337,49.79940891807623,9.927626958930896,"[565641.6701410958, 5516256.327498261]",9,1,3
338,49.79956619603985,9.927941728729827,"[565641.6701410958, 5516256.327498261]",9,1,3
339,49.799440635825476,9.928366347079653,"[567012.915055662, 5515537.688090251]",9,1,2
340,49.79952585731352,9.928878215999468,"[567012.915055662, 5515537.688090251]",9,1,2
341,49.799609652574084,9.929614806328619,"[567012.915055662, 5515537.688090251]",9,1,2
342,49.799601521367585,9.930349933944665,"[567012.915055662, 5515537.688090251]",9,1,2
343,49.79992623113152,9.930114152675642,"[567012.915055662, 5515537.688090251]",9,1,2
344,49.79996921651369,9.930955641516153,"[567012.915055662, 5515537.688090251]",9,1,2
345,49.79960798864658,9.930903512472955,"[567012.915055662, 5515537.688090251]",9,1,2
346,49.800011700236404,9.931916116325949,"[567012.915055662, 5515537.688090251]",9,1,2
347,49.79976549931375,9.93238510001166,"[567012.915055662, 5515537.688090251]",9,1,2
348,49.79917041796731,9.92811361631543,"[567012.915055662, 5515537.688090251]",9,1,2
349,49.79852176590157,9.92821217744098,"[567012.915055662, 5515537.688090251]",8,1,2
350,49.79890430106237,9.928289272764136,"[567012.915055662, 5515537.688090251]",8,1,2
351,49.823574649358754,9.972103599981347,"[569776.4845348785, 5519129.897274399]",7,1,3
352,49.82365424748583,9.97238993082581,"[569776.4845348785, 5519129.897274399]",7,1,3
353,49.82342744936775,9.97283659998048,"[569776.4845348785, 5519129.897274399]",7,1,3
354,49.82378024940653,9.972901399934763,"[569776.4845348785, 5519129.897274399]",7,1,3
355,49.82346259936788,9.97165579997601,"[569776.4845348785, 5519129.897274399]",7,1,3
356,49.823470499363275,9.973092849992376,"[569776.4845348785, 5519129.897274399]",7,1,3
